order_id,restaurant_id,food_item,order_time,delivery_time,delivery_distance,order_value,delivery_method,traffic_condition,weather_condition,delivery_time_actual,delivery_delay,route_taken,customer_id,age,gender,location,order_history,customer_rating,preferred_cuisine,order_frequency,loyalty_program,food_temperature,food_freshness,packaging_quality,food_condition,customer_satisfaction,small_route,bike_friendly_route,route_type,route_efficiency,predicted_delivery_mode,traffic_avoidance
1d8e87M,16,Taccos,2024-01-31,,,,,,,,,,9c6dbfcb-72c5-4cc4-9f76-29200f0efda7,,,,,,,,,,,,,,,,,,,
f4d84dC,30,Briyani rice,2024-10-16,,,,,,,,,,b3e207bd-103e-4154-b7cc-7e32bd898ee3,,,,,,,,,,,,,,,,,,,
5a6006W,3,Pasta,2024-09-11,,,,,,,,,,4a96f5b2-04c4-428d-a1cd-3015ff43698a,,,,,,,,,,,,,,,,,,,
3b3eb0Q,93,Whole cake,2024-09-17,,,,,,,,,,1f35bbcf-a7d6-46c7-85eb-2416da4435f7,,,,,,,,,,,,,,,,,,,
135630M,15,Sushi,2024-08-26,,,,,,,,,,db836e89-73e6-461d-b74f-d0f8c556e7b5,,,,,,,,,,,,,,,,,,,
070428H,63,Salad,2024-03-30,,,,,,,,,,d276487d-a0a1-42fe-a970-f4338aee3eaa,,,,,,,,,,,,,,,,,,,
5047aeR,21,Taccos,2024-10-14,,,,,,,,,,bf8fe126-f8ce-4299-b347-30dcf6b36ff7,,,,,,,,,,,,,,,,,,,
901e73C,80,Burritos,2024-04-02,,,,,,,,,,04d74373-f908-4e46-b560-50df718c531e,,,,,,,,,,,,,,,,,,,
66e2ecP,100,Briyani rice,2024-12-03,,,,,,,,,,02b61de6-4234-46cf-86c9-fc142781cb3d,,,,,,,,,,,,,,,,,,,
49965eU,30,Chicken wings,2024-03-01,,,,,,,,,,c74fcff8-b73f-413e-b4f2-ec9fa3b6e167,,,,,,,,,,,,,,,,,,,
55102eN,21,Soup,2024-07-08,,,,,,,,,,2133a3e8-d407-483a-8e43-04f3710b5591,,,,,,,,,,,,,,,,,,,
01883cY,57,Pasta,2024-01-27,,,,,,,,,,aea90c9d-8698-474a-9a21-35865ee03615,,,,,,,,,,,,,,,,,,,
60c1d3P,80,Beef pie,2024-08-02,,,,,,,,,,77c15890-3370-4716-915c-3beeccc96839,,,,,,,,,,,,,,,,,,,
c4566aB,50,CoffeeBoba tea,2024-03-20,,,,,,,,,,2633f09e-52b4-4f05-9189-1c71df306ba3,,,,,,,,,,,,,,,,,,,
aaa70fC,42,Cookie,2024-04-27,,,,,,,,,,c9bb3f30-af6e-41b9-9c0a-996235c0f2ee,,,,,,,,,,,,,,,,,,,
343578T,45,Pasta,2024-04-20,,,,,,,,,,ebb1a300-396a-43f5-8e0f-5dc6dc12e8f6,,,,,,,,,,,,,,,,,,,
e107daB,34,Pasta,2024-08-05,,,,,,,,,,1b8e11d1-65b9-4e8b-b42b-2b0d23aa3a6b,,,,,,,,,,,,,,,,,,,
ef212cB,42,Pasta,2024-11-02,,,,,,,,,,40071b49-a8d5-4f43-887a-bf17dc8cfe20,,,,,,,,,,,,,,,,,,,
e4f449A,72,Chicken pie,2024-10-17,,,,,,,,,,d1003d99-1be6-4670-88fd-37f155e36545,,,,,,,,,,,,,,,,,,,
036d8eJ,36,Chicken rice,2024-02-12,,,,,,,,,,edcd416c-c35d-4aeb-b2dc-4261f9424e9e,,,,,,,,,,,,,,,,,,,
cdd839J,5,Salad,2024-07-28,,,,,,,,,,d5357b33-3690-4bbc-9534-42adc465ff53,,,,,,,,,,,,,,,,,,,
c1bfccS,97,Burritos,2024-03-26,,,,,,,,,,f2e4ba2d-088d-4b71-8213-36eecfae8ed1,,,,,,,,,,,,,,,,,,,
0137c4V,26,Taccos,2024-01-28,,,,,,,,,,9287fa12-e8c9-484a-8e54-9527f1717349,,,,,,,,,,,,,,,,,,,
13c93dS,83,CoffeeBoba tea,2024-03-27,,,,,,,,,,2b834148-8387-4a77-9cf3-3eb6ed54281c,,,,,,,,,,,,,,,,,,,
8e22d6D,15,Pasta,2024-03-23,,,,,,,,,,ebe0637a-b91c-4d2b-a82d-06c545e7c15c,,,,,,,,,,,,,,,,,,,
a504b0M,95,Salad,2024-06-21,,,,,,,,,,3841c278-a867-4bde-b3de-26fd573d8c6f,,,,,,,,,,,,,,,,,,,
e9701bS,32,Chicken rice,2024-12-09,,,,,,,,,,3157bb26-c335-489d-b12c-e4a514e46d28,,,,,,,,,,,,,,,,,,,
ba1bd6N,72,Dumplings,2024-07-17,,,,,,,,,,2df27ecb-2bd3-4b7e-9f4e-36d806ca0692,,,,,,,,,,,,,,,,,,,
1c9028S,62,Salad,2024-03-17,,,,,,,,,,81fac0dc-09e1-4205-948f-e9873fc7ecb2,,,,,,,,,,,,,,,,,,,
5633d4T,56,Briyani rice,2024-07-27,,,,,,,,,,1c8835c9-c442-4a5e-b724-bdb12f2a8c2b,,,,,,,,,,,,,,,,,,,
b6ef64S,40,Briyani rice,2024-02-12,,,,,,,,,,55b325b6-b064-4579-89aa-366d2433b2ed,,,,,,,,,,,,,,,,,,,
ae28e9V,1,Whole cake,2024-07-19,,,,,,,,,,e48a9d5a-32fb-492e-94dd-db1e86e0bfa7,,,,,,,,,,,,,,,,,,,
a4eed8D,69,Pasta,2024-10-17,,,,,,,,,,9bb01df8-f273-4944-83b3-2353ffa9b838,,,,,,,,,,,,,,,,,,,
96e21aA,46,Chicken rice,2024-03-10,,,,,,,,,,c7e8b03d-c1ae-4be9-b02c-e543051e0d4d,,,,,,,,,,,,,,,,,,,
37cc4dK,51,Chicken wings,2024-10-21,,,,,,,,,,026d1a51-f8a4-42d0-ade6-4742b1862113,,,,,,,,,,,,,,,,,,,
c12e69A,42,Salad,2024-01-13,,,,,,,,,,777604cd-e09d-40ac-9a54-91f50ae03f83,,,,,,,,,,,,,,,,,,,
d0437fJ,48,Pizza,2024-06-22,,,,,,,,,,cb38884f-2de8-4e4e-9073-9acda36bf3ca,,,,,,,,,,,,,,,,,,,
609591K,12,Salad,2024-02-24,,,,,,,,,,f84d6c75-167a-4df9-a9bf-987444c20da3,,,,,,,,,,,,,,,,,,,
4a5a15Q,87,Pasta,2024-03-01,,,,,,,,,,1758600b-2463-4f73-bc62-d711b104cb18,,,,,,,,,,,,,,,,,,,
7e3eafP,91,Cup cake,2024-07-01,,,,,,,,,,c3ce1502-3445-4d32-b5a7-1c7562a7f531,,,,,,,,,,,,,,,,,,,
a03a0fB,65,PastrySmoothie,2024-08-27,,,,,,,,,,625c2a65-778e-4d1d-9d87-29dbf9205102,,,,,,,,,,,,,,,,,,,
44c448W,45,Whole cake,2024-09-10,,,,,,,,,,eaab89b7-519f-4e5b-a305-30437213fcca,,,,,,,,,,,,,,,,,,,
a5f84cE,44,Dumplings,2024-03-18,,,,,,,,,,6bea3189-fc95-4281-9c0b-2e2b47ab2cee,,,,,,,,,,,,,,,,,,,
5edd83W,3,Burritos,2024-03-08,,,,,,,,,,5f8d480f-161f-478e-9cdc-753e992f1174,,,,,,,,,,,,,,,,,,,
35c48dQ,72,Shawarma,2024-02-13,,,,,,,,,,a187eb8e-2129-4703-ba63-cdd1bc2a3d3f,,,,,,,,,,,,,,,,,,,
05f190I,23,CoffeeBoba tea,2024-03-18,,,,,,,,,,06c2f9ff-2876-4483-89fa-e425a25fe5f7,,,,,,,,,,,,,,,,,,,
2a4be3D,8,Soup,2024-08-29,,,,,,,,,,97a6c857-9b31-4888-95d0-ac03c3ef89c7,,,,,,,,,,,,,,,,,,,
c11266K,25,Shawarma,2024-08-21,,,,,,,,,,115356ad-a647-40e2-a13c-f7b1a16cc086,,,,,,,,,,,,,,,,,,,
4c8e0fN,65,Pizza,2024-02-26,,,,,,,,,,f2e12400-c82e-4fea-b4f3-5966a6cc2134,,,,,,,,,,,,,,,,,,,
05f0c2J,77,Cookie,2024-10-27,,,,,,,,,,fa5864b2-fe20-4e10-9240-2234b598e4e8,,,,,,,,,,,,,,,,,,,
2863f5F,41,PastrySmoothie,2024-08-20,,,,,,,,,,b9be59b2-22d8-4e44-92bc-91aa6dafffb0,,,,,,,,,,,,,,,,,,,
f7e6e7T,93,Burritos,2024-09-22,,,,,,,,,,8923a055-8464-4a51-b189-6c24795b55cb,,,,,,,,,,,,,,,,,,,
423d60T,47,Salad,2024-12-06,,,,,,,,,,f6fbaf95-1ca5-4217-ad53-8322c76af4c3,,,,,,,,,,,,,,,,,,,
58084dS,6,Cookie,2024-07-30,,,,,,,,,,33e6b370-a1a9-4e28-8299-4cc49dfda103,,,,,,,,,,,,,,,,,,,
37637bI,94,Taccos,2024-08-22,,,,,,,,,,9587d415-84ef-4eae-a22c-99f31da7e8cf,,,,,,,,,,,,,,,,,,,
a8558eB,9,Chicken pie,2024-10-05,,,,,,,,,,b3dae4a7-b05b-4c50-a2e4-e6d6ccfc004a,,,,,,,,,,,,,,,,,,,
ab8d44N,63,Pizza,2024-11-30,,,,,,,,,,10c45ae2-3f08-4c0e-9dd1-8828fde51897,,,,,,,,,,,,,,,,,,,
08df47E,100,Soup,2024-08-29,,,,,,,,,,51dbada9-527d-41fd-af93-d42003e7135b,,,,,,,,,,,,,,,,,,,
9a99e4K,4,Cup cake,2024-04-15,,,,,,,,,,ad11f4a9-e289-4257-9da1-d5ec2587e9f2,,,,,,,,,,,,,,,,,,,
ece569Z,13,Whole cake,2024-02-15,,,,,,,,,,567b7035-c33b-46e7-921f-f63fa4fcea4b,,,,,,,,,,,,,,,,,,,
2e2819C,21,Taccos,2024-06-22,,,,,,,,,,33110ca0-3f5f-4521-8b37-8cee8b16fd45,,,,,,,,,,,,,,,,,,,
b069c7A,81,Taccos,2024-04-07,,,,,,,,,,a3df58ec-96fe-4132-b19b-e8a91a2dd693,,,,,,,,,,,,,,,,,,,
15760aC,53,Burger,2024-06-20,,,,,,,,,,411b8170-4b51-48d6-8695-43cb3dbafc25,,,,,,,,,,,,,,,,,,,
9070b4N,20,Cup cake,2024-01-26,,,,,,,,,,e84a9a6c-0f29-493a-a416-bb5080294c91,,,,,,,,,,,,,,,,,,,
8008e4E,11,Briyani rice,2024-01-25,,,,,,,,,,34aa0a17-68f8-44e7-a2e9-6a0f95cd21d5,,,,,,,,,,,,,,,,,,,
547b53S,20,Chicken wings,2024-01-03,,,,,,,,,,dc618bfd-a578-406a-b335-25e2e49d7f8f,,,,,,,,,,,,,,,,,,,
adbe16Z,20,Pasta,2024-05-26,,,,,,,,,,c5396ea5-4957-45b4-95d7-974a0ec481cd,,,,,,,,,,,,,,,,,,,
82b144C,9,Burritos,2024-08-28,,,,,,,,,,469bc866-c1fc-454a-ac1f-21044ae55536,,,,,,,,,,,,,,,,,,,
6c70b1Y,69,Cup cake,2024-04-04,,,,,,,,,,929d1b59-6e96-4d1e-b834-3345e41434ee,,,,,,,,,,,,,,,,,,,
